event_date,進入APP全+1商城的會員數,有購買的會員數,交易次數,交易金額,,
2022/6/1,102802,3697,5340,3324751,,
2022/6/2,73013,2736,3596,1994630,,
2022/6/3,67882,3306,4203,1980124,,
2022/6/4,65609,3665,4714,2472427,,
2022/6/5,69416,2767,3538,1631379,,
2022/6/6,68927,2939,3901,1904066,,
2022/6/7,58270,3666,5237,2461701,,
2022/6/8,72549,4291,5900,3107114,,
2022/6/9,73301,5540,7543,3610161,,
2022/6/10,64227,4631,6338,2900221,,
2022/6/11,63743,4828,6514,3131065,,
2022/6/12,56066,2944,3620,2131396,,
2022/6/13,58274,4579,6425,3785971,,
2022/6/14,58037,3682,4977,2767534,,
2022/6/15,60362,3414,4430,2583081,,
2022/6/16,57752,4238,5546,2539825,,
2022/6/17,58908,3753,5017,2779974,,
2022/6/18,59538,5042,6674,3047131,,
2022/6/19,53808,3618,4763,2344908,,
2022/6/20,50758,1828,2157,1897001,,
2022/6/21,68214,2459,2952,2485033,,
2022/6/22,55418,2156,2654,2144205,,
2022/6/23,51310,2467,2968,2483707,,
2022/6/24,47396,2274,2684,2343249,,
2022/6/25,51655,2896,3481,2624735,,
2022/6/26,47837,2205,2605,2069862,,
2022/6/27,44643,1950,2264,1764293,,
2022/6/28,43779,2529,2976,1954695,,
2022/6/29,48074,2140,2458,1344007,,
2022/6/30,45017,2236,2514,1393850,,
2022/7/1,64558,2657,3161,2024022,, 
2022/7/2,51996,2303,2788,1721874,,
2022/7/3,47884,1924,2238,1240413,,
2022/7/4,41197,1996,2310,1472087,,
2022/7/5,43510,2402,2786,1456560,,
2022/7/6,49810,1432,1648,1596124,,
2022/7/7,41956,1484,1681,1314763,,
2022/7/8,47752,1496,1695,1391713,,
2022/7/9,46231,1556,1786,1549769,,
2022/7/10,47382,1422,1632,1354541,,
2022/7/11,43591,1303,1459,1190828,,
2022/7/12,42872,1173,1300,1248667,,
2022/7/13,56257,2774,3393,1462739,,
2022/7/14,52052,2723,3361,1491150,,
2022/7/15,49584,2886,3635,1653913,,
2022/7/16,43873,2522,3175,1751603,,
2022/7/17,42341,1944,2507,1187288,,
2022/7/18,38505,1470,1904,1629135,,
2022/7/19,37249,1108,1225,926350,,
2022/7/20,40001,1284,1431,1109097,,
2022/7/21,38269,1451,1603,1184948,,
2022/7/22,43125,1166,1275,979083,,
2022/7/23,44897,1360,1496,1179693,,
2022/7/24,42912,1292,1405,1111720,,
2022/7/25,43810,1344,1508,1083035,,
2022/7/26,42260,1140,1284,1020995,,
2022/7/27,44346,1478,1620,1096855,,
2022/7/28,42972,1488,1717,1230275,,
2022/7/29,50833,1810,1990,1401660,,
2022/7/30,47446,1240,1358,1052083,,
2022/7/31,47241,1184,1305,1056379,,
2022/8/1,68052,3687,4223,4073717,,
2022/8/2,41111,1573,1721,1578511,,
2022/8/3,47745,2200,2416,1350417,,
2022/8/4,49751,2209,2494,1493621,,
2022/8/5,46318,2256,2561,1455776,,
2022/8/6,54416,2367,2812,1566538,,
2022/8/7,45716,1950,2220,1205743,,
2022/8/8,41759,1794,2076,1250723,,
2022/8/9,38802,1620,1878,1037986,,
2022/8/10,20461,24,26,28944,,
,,,,2433403.2,,
