cutoff_date,commodity_no,commodity_name,total_amount_1d,total_qty_1d
2023-05-07,WB2200013003,【光泉】１００％成份無調整保久牛乳【２００ｍｌｘ２４】,3288,23
2023-05-07,WB2300066576,【冷藏店取-minimore】法式檸檬蛋糕(２９５ｇ／盒),0,0
2023-05-07,WB2300067860,【百慕達】黑色蒸氣烤麵包機【1個x1】,0,0
2023-05-07,WB2200003055,【Ｐｉｃａｒｄ】冷凍菠菜葉【６００ｇｘ１】,0,0
2023-05-07,WB2300000635,【樂天】樂天水梨汁(２３８ｍｌ＊１２),8367,113
2023-05-07,WB2200003038,【Ｐｉｃａｒｄ】ＰＵＲＥ香草冰淇淋【３８０ｇｘ１】,5651,187
2023-05-07,WB2300067653,【冷凍店取—快樂大廚】紅燒牛腩【包】,11525,176
2023-05-07,WB2200013022,【光泉】箱購光泉蘋果牛乳保久乳【２００ｍｌｘ２４】,7422,58
2023-05-07,WB2200002952,【Ｐｉｃａｒｄ】圓薯餅（１８入）【６００ｇｘ１】,12674,459
2023-05-07,WB2200003058,【Ｐｉｃａｒｄ】菠菜羊乳酪鹹派（４入）【４４０ｇｘ１】,0,0
2023-05-07,WB2200004447,【總舖獅】蠔油粉絲煲(225克/包),10292,490
2023-05-07,WB2200012641,【美式賣場】科克蘭三層抽取衛生紙(１２０張ｘ２４入),20962,132
2023-05-08,WB2200008214,【築地一番鮮】智利厚切鮭魚(２５０ｇ±１０％（包冰率20％）／片),6217,119
2023-05-07,WB2200014454,【波蜜】箱購果菜汁２５０ｍｌ【２５０ｍｌ＊２４入／箱】,6114,96
2023-05-07,WB2200007241,【大成食品】經典原味雞胸肉【９０ｇ／包】,10803,457
2023-05-07,WB2200007239,【大成食品】檀島豬扒【９５ｇ／包】,6312,306
2023-05-07,WB2200002048,【MUSCLEDREAM】乳清蛋白－沖繩黑糖奶茶【５００Ｇ】,0,0
2023-05-07,WB2100003370,【Ｃｏｎｃｅｒｎ康生】６Ｄ溫熱揉槌按摩椅墊(紫CON-2828),12237,9
2023-05-07,WB2200004135,【生活】生活泡沫奶茶【590ml*24入/箱】,0,0
2023-05-07,WB2300066524,【冷凍店取－食芋堂】６吋芋泥派【６５０ｇ／盒　】,0,0
2023-05-07,WB2200014208,【生活】運動飲料【４００ｍｌ＊２４】,8658,58
2023-05-07,WB2200014962,【Ａｐｐｌｅ】蘋果Ｓ８ＧＰＳ４５ｍｍ手錶(（午夜色鋁金屬錶殼／午夜色運動型錶帶）),39227,5
2023-05-07,WB2200003010,【Ｐｉｃａｒｄ】熔岩巧克力（２入）【２００ｇｘ１】,12928,1172
2023-05-07,WB2200003031,【Ｐｉｃａｒｄ】酥炸魷魚圈【２００ｇｘ１】,20155,271
2023-05-07,WB2300065930,【限量優惠－７７】新蜜樂芙綜合禮盒【５０３．４ｇ】,0,0
2023-05-07,WB2200002330,【ＡＯＣ】７０型４ＫＨＤＲ液晶顯示器【７０Ｕ６４１８】,0,0
2023-05-07,WB2200007242,【豪鮮】美國安格斯ＰＲＩＭＥ(頂級霜降沙朗骰子１００Ｇ＋－１０％／包),3816,120
2023-05-07,WB2200004107,【泰山】環保水【600ml*24入/箱】,15826,327
2023-05-07,WB2200005486,【披薩市】黃金夏威夷口味（葷）(90g±4.5%),1605,184
2023-05-07,WB2200002943,【Ｐｉｃａｒｄ】檸檬起司蛋糕（單片）【８５ｇｘ１】,6839,261
2023-05-07,WB2200015822,【生活】生活蘇格蘭紅茶(３００ｍｌ＊２４),0,0
2023-05-07,WB2200007019,【大成食品】台灣豬極厚排骨【２５０ｇ／包】,0,0
2023-05-07,WB2200002955,【Ｐｉｃａｒｄ】馬卡龍（１６入）【２０５ｇｘ１】,13342,305
2023-05-07,WB2300067963,【雅詩蘭黛】微分子肌底原生露【200mlx2（公司貨）】,12835,6
2023-05-07,WB2100011855,【±0】正負零無線吸塵器(XJC-C030 白),16559,11
2023-05-07,WB2200005485,【披薩市】青醬蟹肉口味（葷）(80g±4.5%),2744,117
2023-05-07,WB2200005992,【憋氣檸檬】憋氣冰角－原味檸檬【２８ｇ＊１０顆】,6288,155
2023-05-07,WB2300067957,【ＳＩＳＬＥＹ】全能乳液【125mlx1（國際航空版）】,47832,41
2023-05-07,WB2200012807,【黑松】加鹽黑松沙士２４５ｍｌ＊２４入【２４５ｍｌ＊２４入／箱】,0,0
2023-05-07,WB2200007739,【杜老爺】杜老爺麻淇冰淇淋－香草口味(４２ｇ＊１０粒),4649,57
2023-05-07,WB2200013314,【雙月食品社】雙月愛恨椒芝麵【２１８公克】,3404,350
2023-05-07,WB2200005238,【海揚鮮物】龍蝦沙拉【250g±10%】,2126,53
2023-05-07,WB2100003577,WB2100003577,3464,82
2023-05-07,WB2200003532,【大成食品】黃金脆皮雞腿排【２１０ｇ】,65090,2084
2023-05-07,WB2200013980,【惜惜】惜惜康普茶青梅氣泡【４２０ｍｌ＊２４／瓶】,0,0
2023-05-07,WB2200004100,【生活】新優植養生黑木耳露（銀杏）(350ml*24入/箱),13228,170
2023-05-07,WB2200007240,【料里長】生鮮全腿去骨嫩腿排(１９０±１０ｇ／包),7734,121
2023-05-07,WB2200019110,【全家Ｘ長榮空廚】竹笙蛤蜊雞湯【２０７５ｇ／盒（固形物：１０５０ｇ）】,0,0
2023-05-07,WB2300064431,【冷凍店取－義美】脆皮香草口味冰淇淋１０入／盒【２５ｇ＊１０入／盒】,8349,240
